Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,57.970001,57.970001,57.970001,57.970001,57.046661,0
2022-06-23,58.520000,58.520000,58.520000,58.520000,57.587898,0
2022-06-24,60.310001,60.310001,60.310001,60.310001,59.349388,0
2022-06-27,60.130001,60.130001,60.130001,60.130001,59.172256,0
2022-06-28,58.919998,58.919998,58.919998,58.919998,57.981525,0
2022-06-29,58.889999,58.889999,58.889999,58.889999,57.952003,0
2022-06-30,58.380001,58.380001,58.380001,58.380001,57.450130,0
2022-07-01,59.000000,59.000000,59.000000,59.000000,58.060253,0
2022-07-05,59.099998,59.099998,59.099998,59.099998,58.158657,0
2022-07-06,59.310001,59.310001,59.310001,59.310001,58.365318,0
2022-07-07,60.209999,60.209999,60.209999,60.209999,59.250980,0
2022-07-08,60.160000,60.160000,60.160000,60.160000,59.201778,0
2022-07-11,59.470001,59.470001,59.470001,59.470001,58.522770,0
2022-07-12,58.919998,58.919998,58.919998,58.919998,57.981525,0
2022-07-13,58.660000,58.660000,58.660000,58.660000,57.725670,0
2022-07-14,58.490002,58.490002,58.490002,58.490002,57.558376,0
2022-07-15,59.619999,59.619999,59.619999,59.619999,58.670376,0
2022-07-18,59.119999,59.119999,59.119999,59.119999,58.178341,0
2022-07-19,60.750000,60.750000,60.750000,60.750000,59.782379,0
2022-07-20,61.110001,61.110001,61.110001,61.110001,60.136646,0
2022-07-21,61.720001,61.720001,61.720001,61.720001,60.736931,0
2022-07-22,61.139999,61.139999,61.139999,61.139999,60.166168,0
2022-07-25,61.220001,61.220001,61.220001,61.220001,60.244896,0
2022-07-26,60.520000,60.520000,60.520000,60.520000,59.556042,0
2022-07-27,62.099998,62.099998,62.099998,62.099998,61.110874,0
2022-07-28,62.860001,62.860001,62.860001,62.860001,61.858772,0
2022-07-29,63.759998,63.759998,63.759998,63.759998,62.744434,0
2022-08-01,63.580002,63.580002,63.580002,63.580002,62.567307,0
2022-08-02,63.160000,63.160000,63.160000,63.160000,62.153992,0
2022-08-03,64.150002,64.150002,64.150002,64.150002,63.128227,0
2022-08-04,64.099998,64.099998,64.099998,64.099998,63.079018,0
2022-08-05,64.010002,64.010002,64.010002,64.010002,62.990456,0
2022-08-08,63.930000,63.930000,63.930000,63.930000,62.911728,0
2022-08-09,63.660000,63.660000,63.660000,63.660000,62.646030,0
2022-08-10,65.019997,65.019997,65.019997,65.019997,63.984364,0
2022-08-11,64.989998,64.989998,64.989998,64.989998,63.954842,0
2022-08-12,66.129997,66.129997,66.129997,66.129997,65.076683,0
2022-08-15,66.389999,66.389999,66.389999,66.389999,65.332542,0
2022-08-16,66.519997,66.519997,66.519997,66.519997,65.460472,0
2022-08-17,66.050003,66.050003,66.050003,66.050003,64.997963,0
2022-08-18,66.209999,66.209999,66.209999,66.209999,65.155411,0
2022-08-19,65.360001,65.360001,65.360001,65.360001,64.318954,0
2022-08-22,63.959999,63.959999,63.959999,63.959999,62.941250,0
2022-08-23,63.820000,63.820000,63.820000,63.820000,62.803482,0
2022-08-24,64.010002,64.010002,64.010002,64.010002,62.990456,0
2022-08-25,64.910004,64.910004,64.910004,64.910004,63.876122,0
2022-08-26,62.730000,62.730000,62.730000,62.730000,61.730843,0
2022-08-29,62.310001,62.310001,62.310001,62.310001,61.317532,0
2022-08-30,61.630001,61.630001,61.630001,61.630001,60.648365,0
2022-08-31,61.160000,61.160000,61.160000,61.160000,60.185848,0
2022-09-01,61.349998,61.349998,61.349998,61.349998,60.372822,0
2022-09-02,60.700001,60.700001,60.700001,60.700001,59.733177,0
2022-09-06,60.450001,60.450001,60.450001,60.450001,59.487160,0
2022-09-07,61.560001,61.560001,61.560001,61.560001,60.579479,0
2022-09-08,61.980000,61.980000,61.980000,61.980000,60.992786,0
2022-09-09,62.930000,62.930000,62.930000,62.930000,61.927658,0
2022-09-12,63.599998,63.599998,63.599998,63.599998,62.586983,0
2022-09-13,60.849998,60.849998,60.849998,60.849998,59.880787,0
2022-09-14,61.070000,61.070000,61.070000,61.070000,60.097282,0
2022-09-15,60.389999,60.389999,60.389999,60.389999,59.428112,0
2022-09-16,59.950001,59.950001,59.950001,59.950001,58.995121,0
2022-09-19,60.360001,60.360001,60.360001,60.360001,59.398590,0
2022-09-20,59.680000,59.680000,59.680000,59.680000,58.729424,0
2022-09-21,58.669998,58.669998,58.669998,58.669998,57.735508,0
2022-09-22,58.169998,58.169998,58.169998,58.169998,57.243473,0
2022-09-23,57.169998,57.169998,57.169998,57.169998,56.259399,0
2022-09-26,56.580002,56.580002,56.580002,56.580002,55.678802,0
2022-09-27,56.470001,56.470001,56.470001,56.470001,55.570553,0
2022-09-28,57.580002,57.580002,57.580002,57.580002,56.662872,0
2022-09-29,56.369999,56.369999,56.369999,56.369999,55.472141,0
2022-09-30,55.529999,55.529999,55.529999,55.529999,54.645523,0
2022-10-03,56.959999,56.959999,56.959999,56.959999,56.052746,0
2022-10-04,58.709999,58.709999,58.709999,58.709999,57.774872,0
2022-10-05,58.599998,58.599998,58.599998,58.599998,57.666622,0
2022-10-06,58.009998,58.009998,58.009998,58.009998,57.086021,0
2022-10-07,56.389999,56.389999,56.389999,56.389999,55.491825,0
2022-10-10,55.970001,55.970001,55.970001,55.970001,55.078518,0
2022-10-11,55.599998,55.599998,55.599998,55.599998,54.714405,0
2022-10-12,55.419998,55.419998,55.419998,55.419998,54.537273,0
2022-10-13,56.869999,56.869999,56.869999,56.869999,55.964180,0
2022-10-14,55.520000,55.520000,55.520000,55.520000,54.635681,0
2022-10-17,56.990002,56.990002,56.990002,56.990002,56.082272,0
2022-10-18,57.650002,57.650002,57.650002,57.650002,56.731758,0
2022-10-19,57.259998,57.259998,57.259998,57.259998,56.347965,0
2022-10-20,56.810001,56.810001,56.810001,56.810001,55.905136,0
2022-10-21,58.160000,58.160000,58.160000,58.160000,57.233631,0
2022-10-24,58.849998,58.849998,58.849998,58.849998,57.912640,0
2022-10-25,59.810001,59.810001,59.810001,59.810001,58.857353,0
2022-10-26,59.369999,59.369999,59.369999,59.369999,58.424358,0
2022-10-27,59.009998,59.009998,59.009998,59.009998,58.070091,0
2022-10-28,60.470001,60.470001,60.470001,60.470001,59.506840,0
2022-10-31,60.020000,60.020000,60.020000,60.020000,59.064007,0
2022-11-01,59.770000,59.770000,59.770000,59.770000,58.817989,0
2022-11-02,58.279999,58.279999,58.279999,58.279999,57.351719,0
2022-11-03,57.669998,57.669998,57.669998,57.669998,56.751434,0
2022-11-04,58.470001,58.470001,58.470001,58.470001,57.538696,0
2022-11-07,59.029999,59.029999,59.029999,59.029999,58.089775,0
2022-11-08,59.360001,59.360001,59.360001,59.360001,58.414520,0
2022-11-09,58.139999,58.139999,58.139999,58.139999,57.213951,0
2022-11-10,61.369999,61.369999,61.369999,61.369999,60.392502,0
2022-11-11,61.930000,61.930000,61.930000,61.930000,60.943584,0
2022-11-14,61.389999,61.389999,61.389999,61.389999,60.412186,0
2022-11-15,61.930000,61.930000,61.930000,61.930000,60.943584,0
2022-11-16,61.439999,61.439999,61.439999,61.439999,60.461388,0
2022-11-17,61.259998,61.259998,61.259998,61.259998,60.284256,0
2022-11-18,61.549999,61.549999,61.549999,61.549999,60.569637,0
2022-11-21,61.320000,61.320000,61.320000,61.320000,60.343300,0
2022-11-22,62.150002,62.150002,62.150002,62.150002,61.160080,0
2022-11-23,62.529999,62.529999,62.529999,62.529999,61.534027,0
2022-11-25,62.509998,62.509998,62.509998,62.509998,61.514343,0
