Date,Open,High,Low,Close,Adj Close,Volume,split
2022-11-08,59.360001,59.360001,59.360001,59.360001,58.41452,0.0,-0.2043309602158385
2022-11-09,58.139999,58.139999,58.139999,58.139999,57.213951,0.0,-0.6133496392652594
2022-11-14,61.389999,61.389999,61.389999,61.389999,60.412186,0.0,-0.03504286277914716
2022-11-15,61.93,61.93,61.93,61.93,60.943584,0.0,-0.6046066896629942
2022-11-16,61.439999,61.439999,61.439999,61.439999,60.461388,0.0,0.9001908575506176
2022-11-17,61.259998,61.259998,61.259998,61.259998,60.284256,0.0,-0.2634424141356208
2022-11-18,61.549999,61.549999,61.549999,61.549999,60.569637,0.0,-0.6581332080174674
2022-11-21,61.32,61.32,61.32,61.32,60.3433,0.0,-0.3142350976642949
2022-11-25,62.509998,62.509998,62.509998,62.509998,61.514343,0.0,-0.7684780676475239
2022-11-29,61.450001,61.450001,61.450001,61.450001,60.47123,0.0,-0.930252279873074
2022-11-30,63.369999,63.369999,63.369999,63.369999,62.360649,0.0,-0.48282652262069464
2022-12-01,63.330002,63.330002,63.330002,63.330002,62.321289,0.0,1.1240788982452352
2022-12-02,63.259998,63.259998,63.259998,63.259998,62.252399,0.0,0.39358098437860045
2022-12-06,61.23,61.23,61.23,61.23,60.254734,0.0,-2.0680345822950517
2022-12-07,61.119999,61.119999,61.119999,61.119999,60.146484,0.0,0.965135707689269
2022-12-12,61.02,61.02,61.02,61.02,61.02,0.0,-1.7447124368007405
2022-12-13,61.459999,61.459999,61.459999,61.459999,61.459999,0.0,-1.0080422986509041
2022-12-14,61.099998,61.099998,61.099998,61.099998,61.099998,0.0,-0.5917701583485995
2022-12-15,59.580002,59.580002,59.580002,59.580002,59.580002,0.0,-0.03886994790518086
2022-12-19,58.400002,58.400002,58.400002,58.400002,58.400002,0.0,-1.6618219263062675
2022-12-22,58.48,58.48,58.48,58.48,58.48,0.0,-0.24931169982964294
2022-12-23,58.830002,58.830002,58.830002,58.830002,58.830002,0.0,1.2850771923596152
2022-12-27,58.59,58.59,58.59,58.59,58.59,0.0,0.1771327285273053
2022-12-28,57.889999,57.889999,57.889999,57.889999,57.889999,0.0,0.8985919336943456
2023-01-03,58.529999,58.529999,58.529999,58.529999,58.529999,0.0,-1.9636079222040552
2023-01-05,58.290001,58.290001,58.290001,58.290001,58.290001,0.0,0.7117143963134663
2023-01-06,59.630001,59.630001,59.630001,59.630001,59.630001,0.0,-0.3336830691909634
2023-01-09,59.59,59.59,59.59,59.59,59.59,0.0,1.978774698205388
2023-01-13,61.240002,61.240002,61.240002,61.240002,61.240002,0.0,-0.5425012867683702
2023-01-17,61.119999,61.119999,61.119999,61.119999,61.119999,0.0,0.5387823736663068
2023-01-19,59.709999,59.709999,59.709999,59.709999,59.709999,0.0,-1.6776179416574881
2023-01-23,61.57,61.57,61.57,61.57,61.57,0.0,-0.05767628138847134
2023-01-26,62.189999,62.189999,62.189999,62.189999,62.189999,0.0,-0.36692327861282686
2023-01-27,62.349998,62.349998,62.349998,62.349998,62.349998,0.0,-0.21260761683054524
2023-02-02,64.029999,64.029999,64.029999,64.029999,64.029999,0.0,1.1699022197617708
2023-02-03,63.369999,63.369999,63.369999,63.369999,63.369999,0.0,0.4116562195042748
2023-02-07,63.799999,63.799999,63.799999,63.799999,63.799999,0.0,0.5851817143666423
2023-02-08,63.099998,63.099998,63.099998,63.099998,63.099998,0.0,1.0019541020688876
2023-02-09,62.549999,62.549999,62.549999,62.549999,62.549999,0.0,-0.8423835149800559
2023-02-10,62.700001,62.700001,62.700001,62.700001,62.700001,0.0,0.9651508787187228
2023-02-13,63.419998,63.419998,63.419998,63.419998,63.419998,0.0,0.1441444934270744
2023-02-14,63.419998,63.419998,63.419998,63.419998,63.419998,0.0,-0.7943836637113509
2023-02-16,62.740002,62.740002,62.740002,62.740002,62.740002,0.0,-0.24922261578962782
2023-02-17,62.57,62.57,62.57,62.57,62.57,0.0,0.2622869462981978
2023-02-21,61.32,61.32,61.32,61.32,61.32,0.0,-1.2171383221189458
2023-02-23,61.560001,61.560001,61.560001,61.560001,61.560001,0.0,-0.6719454196382828
2023-02-24,60.91,60.91,60.91,60.91,60.91,0.0,-0.13907563762425573
2023-02-27,61.099998,61.099998,61.099998,61.099998,61.099998,0.0,0.36907524734114117
2023-02-28,60.919998,60.919998,60.919998,60.919998,60.919998,0.0,-0.3775965090302114
2023-03-01,60.639999,60.639999,60.639999,60.639999,60.639999,0.0,-0.03986040508500966
2023-03-02,61.110001,61.110001,61.110001,61.110001,61.110001,0.0,0.35485408898376486
2023-03-06,62.150002,62.150002,62.150002,62.150002,62.150002,0.0,0.26784435719776367
2023-03-09,60.169998,60.169998,60.169998,60.169998,60.169998,0.0,0.13249339005568378
2023-03-10,59.290001,59.290001,59.290001,59.290001,59.290001,0.0,1.0838794395406175
2023-03-13,59.189999,59.189999,59.189999,59.189999,59.189999,0.0,-0.8409058446171539
2023-03-14,60.200001,60.200001,60.200001,60.200001,60.200001,0.0,-0.5057368249209163
2023-03-15,59.779999,59.779999,59.779999,59.779999,59.779999,0.0,0.9549347292820198
2023-03-16,60.84,60.84,60.84,60.84,60.84,0.0,-0.36598905894568295
2023-03-17,60.169998,60.169998,60.169998,60.169998,60.169998,0.0,0.5755134996850038
2023-03-20,60.709999,60.709999,60.709999,60.709999,60.709999,0.0,1.5182570754432372
2023-03-21,61.5,61.5,61.5,61.5,61.5,0.0,-1.4656258485672413
